# Frostfuscator Mapping File
# Generated at 2026-07-20T15:10:39.862313800

# Class Mappings
    com/acme/frostfixture/c.pendingCount:Z -> ac
    com/acme/frostfixture/x.sessionLabel:J -> ds
    com/acme/frostfixture/w.retryBudget:I -> dk
    com/acme/frostfixture/p.lastRefreshTime:J -> bt
    com/acme/frostfixture/t.stateVersion:I -> ck
    com/acme/frostfixture/c.retryBudget:I -> aa
    com/acme/frostfixture/q.stateVersion:I -> bv
    com/acme/frostfixture/u.checksumSeed:Ljava/lang/String; -> cx
    com/acme/frostfixture/ServiceImpl.privateCounter:I -> e
    com/acme/frostfixture/w.pendingCount:Z -> dm
    com/acme/frostfixture/a.sessionLabel:J -> n
    com/acme/frostfixture/c.enabled:Z -> y
    com/acme/frostfixture/h.retryBudget:I -> aw
    com/acme/frostfixture/StringsAndNumbers.SECRET:Ljava/lang/String; -> g
    com/acme/frostfixture/g.cacheName:Ljava/lang/String; -> ap
    com/acme/frostfixture/u.sessionLabel:J -> cv
    com/acme/frostfixture/c.stateVersion:I -> w
    com/acme/frostfixture/f.lastRefreshTime:J -> ai
    com/acme/frostfixture/t.sessionLabel:J -> cp
    com/acme/frostfixture/g.lastRefreshTime:J -> an
    com/acme/frostfixture/b.enabled:Z -> r
    com/acme/frostfixture/j.stateVersion:I -> be
    com/acme/frostfixture/s.enabled:Z -> cf
    com/acme/frostfixture/i.enabled:Z -> bb
    com/acme/frostfixture/s.lastRefreshTime:J -> ce
    com/acme/frostfixture/f.retryBudget:I -> al
    com/acme/frostfixture/p.stateVersion:I -> bs
    com/acme/frostfixture/FixtureApp.service:Lcom/acme/frostfixture/ServiceApi; -> a
    com/acme/frostfixture/p.enabled:Z -> bu
    com/acme/frostfixture/l.enabled:Z -> bi
    com/acme/frostfixture/StringSplittingCases.FIELD_LITERAL:Ljava/lang/String; -> h
    com/acme/frostfixture/h.lastRefreshTime:J -> at
    com/acme/frostfixture/u.retryBudget:I -> cu
    com/acme/frostfixture/a.enabled:Z -> k
    com/acme/frostfixture/x.lastRefreshTime:J -> do
    com/acme/frostfixture/v.cacheName:Ljava/lang/String; -> db
    com/acme/frostfixture/s.pendingCount:Z -> cj
    com/acme/frostfixture/l.cacheName:Ljava/lang/String; -> bj
    com/acme/frostfixture/u.stateVersion:I -> cq
    com/acme/frostfixture/w.stateVersion:I -> dg
    com/acme/frostfixture/l.checksumSeed:Ljava/lang/String; -> bn
    com/acme/frostfixture/x.enabled:Z -> dp
    com/acme/frostfixture/v.retryBudget:I -> dc
    com/acme/frostfixture/n.stateVersion:I -> bo
    com/acme/frostfixture/c.lastRefreshTime:J -> x
    com/acme/frostfixture/q.sessionLabel:J -> ca
    com/acme/frostfixture/u.pendingCount:Z -> cw
    com/acme/frostfixture/h.cacheName:Ljava/lang/String; -> av
    com/acme/frostfixture/q.lastRefreshTime:J -> bw
    com/acme/frostfixture/g.stateVersion:I -> am
    com/acme/frostfixture/h.sessionLabel:J -> ax
    com/acme/frostfixture/j.lastRefreshTime:J -> bf
    com/acme/frostfixture/u.enabled:Z -> cs
    com/acme/frostfixture/l.pendingCount:Z -> bm

# Method Mappings
    com/acme/frostfixture/e.buildLookupKey([I)I -> aro
    com/acme/frostfixture/TracePrinter.sv5zG1T1bdFC5()Ljava/lang/String; -> aml
    com/acme/frostfixture/PluginEntrypoint.RPQZG3pwX()Ljava/lang/String; -> abc
    com/acme/frostfixture/PluginEntrypoint.onLoad()V -> xy
    com/acme/frostfixture/PluginEntrypoint.gUGgy8rvAIQcolP()Ljava/lang/String; -> zn
    com/acme/frostfixture/w.formatStatus([I)I -> bap
    com/acme/frostfixture/ReflectionTarget.aKWKakMUjFKzQ()Ljava/lang/String; -> aep
    com/acme/frostfixture/q.refreshSnapshot(Ljava/lang/String;)Ljava/lang/String; -> axq
    com/acme/frostfixture/ReflectionTarget.AVOU8Xbv6ItXLu()Ljava/lang/String; -> adt
    com/acme/frostfixture/LambdaUser.GBLhy7iaTYFjC()Ljava/lang/String; -> sf
    com/acme/frostfixture/MbaCases.RflGnfXj0FK()Ljava/lang/String; -> sy
    com/acme/frostfixture/ReflectionTarget.gekUf9LDOi()Ljava/lang/String; -> acl
    com/acme/frostfixture/ReflectionTarget.C7JGlPsWhM()Ljava/lang/String; -> adh
    com/acme/frostfixture/ApiHidingCases.mqsAYb4sQbTr()Ljava/lang/String; -> dc
    com/acme/frostfixture/PluginEntrypoint.vXdlYiPqg()Ljava/lang/String; -> aaw
    com/acme/frostfixture/j.validateState(Ljava/util/Collection;)I -> auk
    com/acme/frostfixture/i.loadCache(I)I -> atr
    com/acme/frostfixture/PluginEntrypoint.amtbgIiP0()Ljava/lang/String; -> yc
    com/acme/frostfixture/PluginEntrypoint.JnmUAobZPWQeffb()Ljava/lang/String; -> abb
    com/acme/frostfixture/ResourceUser.su0AfdSfa()Ljava/lang/String; -> agn
    com/acme/frostfixture/m.saveCache(Ljava/lang/String;)Ljava/lang/String; -> avw
    com/acme/frostfixture/LambdaUser.gc9RxCzM8gr7J()Ljava/lang/String; -> rt
    com/acme/frostfixture/ResourceUser.iqfMb2zeaE4ML()Ljava/lang/String; -> agt
    com/acme/frostfixture/MbaCases.UmPWkMX1Ocqb()Ljava/lang/String; -> sv
    com/acme/frostfixture/b.writeProperty(J)J -> aps
    com/acme/frostfixture/s.resolveContext(Ljava/lang/String;)Z -> aye
    com/acme/frostfixture/AnnotatedEndpoint.InHjwroxyEEYUgN()Ljava/lang/String; -> bk
    com/acme/frostfixture/ApiHidingCases.thwDpJ5nGp5q2w()Ljava/lang/String; -> cz
    com/acme/frostfixture/MbaCases.Vs821e5hEs()Ljava/lang/String; -> sl
    com/acme/frostfixture/PluginEntrypoint.agwXCG3tdCV()Ljava/lang/String; -> aao
    com/acme/frostfixture/FlowCases.Xp7ib86Spl4()Ljava/lang/String; -> kn
    com/acme/frostfixture/LambdaUser.CaxnwcicytGs()Ljava/lang/String; -> py
    com/acme/frostfixture/PluginEntrypoint.up4ytv4mz1()Ljava/lang/String; -> aab
    com/acme/frostfixture/FlowCases.UdJwDcUlREyi()Ljava/lang/String; -> lx
    com/acme/frostfixture/FlowCases.score(ILjava/lang/String;)I -> it
    com/acme/frostfixture/ServiceImpl.uVhazY8Bmgx()Ljava/lang/String; -> akn
    com/acme/frostfixture/GenericBox.zd4tsc8dYF5dOp()Ljava/lang/String; -> ow
    com/acme/frostfixture/ApiHidingCases.QtcexGfnLmZA()Ljava/lang/String; -> ex
    com/acme/frostfixture/FixtureApp.ILT4GXYLzpj()Ljava/lang/String; -> hg
    com/acme/frostfixture/TracePrinter.qph2FCLcjThjfr()Ljava/lang/String; -> amn
    com/acme/frostfixture/TracePrinter.BnrOgnLDOPfQ()Ljava/lang/String; -> ani
    com/acme/frostfixture/b.mapIdentifier(Ljava/lang/String;)Ljava/lang/String; -> app
    com/acme/frostfixture/GenericBox.fuSBSd2WiDSEyS()Ljava/lang/String; -> nz
    com/acme/frostfixture/ResourceUser.yC6WAWlpD()Ljava/lang/String; -> afg
    com/acme/frostfixture/l.closeSession(I)I -> avo
    com/acme/frostfixture/n.buildLookupKey([I)I -> awp
    com/acme/frostfixture/r.resolveContext(Ljava/lang/String;)Z -> axt
    com/acme/frostfixture/FlowCases.F1uMVMnscz()Ljava/lang/String; -> ke
    com/acme/frostfixture/GenericBox.zewsiQ56Of()Ljava/lang/String; -> nv
    com/acme/frostfixture/ReflectionTarget.HpaFahcy6pi9r()Ljava/lang/String; -> acm
    com/acme/frostfixture/FlowCases.M2Uj0YVhN5()Ljava/lang/String; -> ji
    com/acme/frostfixture/ApiHidingCases.hc6yGUrtjMsR()Ljava/lang/String; -> fi
    com/acme/frostfixture/ApiHidingCases.qRhWGBBKGMuN8()Ljava/lang/String; -> di
    com/acme/frostfixture/NativeBridge.tEWJIl9s0Xyuc()Ljava/lang/String; -> vz
    com/acme/frostfixture/GenericBox.BqmTn202D9hJ()Ljava/lang/String; -> ni
    com/acme/frostfixture/GenericBox.KM5e2SYWRiv()Ljava/lang/String; -> no
    com/acme/frostfixture/LambdaUser.a5ck6aprtwqAiM()Ljava/lang/String; -> ry
    com/acme/frostfixture/j.normalizeName(Ljava/util/Collection;)I -> aus
    com/acme/frostfixture/MbaCases.swjLmFqhVs()Ljava/lang/String; -> tf
    com/acme/frostfixture/ResourceUser.mD7eNKAxCjo()Ljava/lang/String; -> agc
    com/acme/frostfixture/FixtureApp.TLDoUqjCR()Ljava/lang/String; -> hc
    com/acme/frostfixture/FixtureApp.CLL3tFUcED()Ljava/lang/String; -> hl
    com/acme/frostfixture/LambdaUser.NkpTxLwcqbcJ()Ljava/lang/String; -> rl
    jdk/vm/ci/services/VMEntryPoint.value()Ljava/lang/String; -> is
    com/acme/frostfixture/LambdaUser.xrjNuyUZA()Ljava/lang/String; -> rz
    com/acme/frostfixture/i.resetState()V -> aue
    com/acme/frostfixture/PluginEntrypoint.Gq0qlYhdOs5Nz()Ljava/lang/String; -> zo
    com/acme/frostfixture/ServiceImpl.ta7yzGUHtwGi()Ljava/lang/String; -> aks
    com/acme/frostfixture/v.isReady(Ljava/util/Map;)Ljava/util/Map; -> bae
    com/acme/frostfixture/GenericBox.jVWkHZT3iAL()Ljava/lang/String; -> oq
    com/acme/frostfixture/q.resolveContext(Ljava/lang/String;)Z -> axj
    com/acme/frostfixture/ServiceImpl.wXDUmfyIWe()Ljava/lang/String; -> akt
    com/acme/frostfixture/ServiceImpl.h8FnmE49nL5Fo()Ljava/lang/String; -> aim
    com/acme/frostfixture/r.mergeOptions(J)J -> axv
    com/acme/frostfixture/AnnotatedEndpoint.bwwlmEwTUM()Ljava/lang/String; -> n
    com/acme/frostfixture/s.validateState(Ljava/util/Collection;)I -> ayf
    com/acme/frostfixture/AnnotatedEndpoint.rqWwxlOgR7WA19()Ljava/lang/String; -> bp
    com/acme/frostfixture/FixtureApp.lambda$callable$0()Ljava/lang/String; -> fs
    com/acme/frostfixture/PluginEntrypoint.L7eMLRcrPn()Ljava/lang/String; -> aax
    com/acme/frostfixture/AnnotatedEndpoint.xT6GhPR46CSuODZ()Ljava/lang/String; -> ch
    com/acme/frostfixture/TracePrinter.a8Zk7cNV9Fztn()Ljava/lang/String; -> any
    com/acme/frostfixture/s.normalizeName(Ljava/util/Collection;)I -> ayn
    com/acme/frostfixture/TracePrinter.capture(Ljava/lang/Throwable;)V -> ale
    jdk/vm/ci/hotspot/VMEntryPoint.value()Ljava/lang/String; -> is
    com/acme/frostfixture/u.formatStatus([I)I -> azq
    com/acme/frostfixture/FixtureApp.uVHB1NBayCIuhn4()Ljava/lang/String; -> gi
    com/acme/frostfixture/q.isReady(Ljava/util/Map;)Ljava/util/Map; -> axo
    com/acme/frostfixture/AnnotatedEndpoint.umUDYYvDMc7mO()Ljava/lang/String; -> bt
    com/acme/frostfixture/n.applyDefaults(J)J -> awn
    com/acme/frostfixture/h.mergeOptions(J)J -> atb
    com/acme/frostfixture/PluginEntrypoint.PxqFj1wMCim8N()Ljava/lang/String; -> zt
    com/acme/frostfixture/u.refreshSnapshot(Ljava/lang/String;)Ljava/lang/String; -> azt
    com/acme/frostfixture/ReflectionTarget.x80LmYM7zLOPsq()Ljava/lang/String; -> abt
    com/acme/frostfixture/ServiceImpl.JnhG437xPxCx()Ljava/lang/String; -> ako
    com/acme/frostfixture/ResourceUser.w0BxV8e1uhk()Ljava/lang/String; -> agy
    com/acme/frostfixture/NativeBridge.tLvAcbl0pi9vVa()Ljava/lang/String; -> vk
    com/acme/frostfixture/ReflectionTarget.VnznsCVChxwKZ()Ljava/lang/String; -> acy
    com/acme/frostfixture/ReflectionTarget.GblgGwNdY0YmC3P()Ljava/lang/String; -> aeu
    com/acme/frostfixture/v.closeSession(I)I -> baf
    com/acme/frostfixture/LambdaUser.cxzDH7WXIS()Ljava/lang/String; -> ps
    com/acme/frostfixture/ReflectionTarget.RAwUC7WHGgk()Ljava/lang/String; -> abu
    com/acme/frostfixture/ApiHidingCases.kM1rK0f4as690fq()Ljava/lang/String; -> eq
    com/acme/frostfixture/ReflectionTarget.uc0f5XK7bQZrC()Ljava/lang/String; -> aev
    com/acme/frostfixture/e.mergeOptions(J)J -> are
    com/acme/frostfixture/ServiceImpl.cpiC8wqh5rV0c()Ljava/lang/String; -> ajh
    com/acme/frostfixture/s.refreshSnapshot(Ljava/lang/String;)Ljava/lang/String; -> ayl
    com/acme/frostfixture/FixtureApp.yPKNC4OSCPx()Ljava/lang/String; -> ht
    com/acme/frostfixture/LambdaUser.lambda$join$0(Ljava/lang/String;Ljava/lang/Integer;)Ljava/lang/String; -> oz
    com/acme/frostfixture/GenericBox.YWzUzKdMI6u()Ljava/lang/String; -> mw
    com/acme/frostfixture/MbaCases.f4jqpYJjYttu1Lc()Ljava/lang/String; -> su
    com/acme/frostfixture/MbaCases.mFePu71VLcx1()Ljava/lang/String; -> uc
    com/acme/frostfixture/ReflectionTarget.fO1HhYAUJoQ()Ljava/lang/String; -> acw
    com/acme/frostfixture/w.refreshSnapshot(Ljava/lang/String;)Ljava/lang/String; -> bas
    com/acme/frostfixture/PluginEntrypoint.JhUPcFCYQKH()Ljava/lang/String; -> aaa
    com/acme/frostfixture/PluginEntrypoint.C5W7M9LF6()Ljava/lang/String; -> zl
    com/acme/frostfixture/ServiceImpl.MnoIIO0Av()Ljava/lang/String; -> aiv
    com/acme/frostfixture/x.applyDefaults(J)J -> bbl
    com/acme/frostfixture/AnnotatedEndpoint.oUZy29eXjRjqQz()Ljava/lang/String; -> bm
    com/acme/frostfixture/ApiHidingCases.xniQWRBXfW()Ljava/lang/String; -> co
    com/acme/frostfixture/TracePrinter.zvHiCMd2yEdjMx()Ljava/lang/String; -> anh
    com/acme/frostfixture/LambdaUser.Sjt4rBsgYue03S()Ljava/lang/String; -> qy
    com/acme/frostfixture/MbaCases.rviBzUmlhptzz()Ljava/lang/String; -> te
    com/acme/frostfixture/ResourceUser.readConfigMarker()Ljava/lang/String; -> aew
    com/acme/frostfixture/PluginEntrypoint.MgqByZ6tCjZ()Ljava/lang/String; -> yo
    com/acme/frostfixture/ServiceImpl.IBg74Vw1VmwZxm()Ljava/lang/String; -> ajy
    com/acme/frostfixture/g.isReady(Ljava/util/Map;)Ljava/util/Map; -> asm
    com/acme/frostfixture/FlowCases.RYNpjY7Im()Ljava/lang/String; -> jj
    com/acme/frostfixture/h.resetState()V -> atk
    com/acme/frostfixture/i.closeSession(I)I -> atz
    com/acme/frostfixture/LambdaUser.DBmbIvcQ6n9Y()Ljava/lang/String; -> qi
    com/acme/frostfixture/LambdaUser.LWKz8L56YuH7()Ljava/lang/String; -> qu
    com/acme/frostfixture/FixtureApp.acX425wL9Q2rz86()Ljava/lang/String; -> gl
    com/acme/frostfixture/FixtureApp.yuNVBtc7LfN()Ljava/lang/String; -> hh
    com/acme/frostfixture/MbaCases.eQL4GUOAM1M6S()Ljava/lang/String; -> uk
    com/acme/frostfixture/ServiceImpl.rTdNKMaYwR()Ljava/lang/String; -> ait
    com/acme/frostfixture/GenericBox.YYYKQC9C4Ik()Ljava/lang/String; -> me
    com/acme/frostfixture/x.normalizeName(Ljava/util/Collection;)I -> bbk
    com/acme/frostfixture/FlowCases.U2Hcxfk7JZp()Ljava/lang/String; -> lb
    com/acme/frostfixture/FlowCases.noECX3S3iDwN()Ljava/lang/String; -> km
    com/acme/frostfixture/ServiceImpl.wzRZI0Gm9edH()Ljava/lang/String; -> ajf
    com/acme/frostfixture/i.refreshSnapshot(Ljava/lang/String;)Ljava/lang/String; -> aua
    com/acme/frostfixture/u.resolveContext(Ljava/lang/String;)Z -> azm
    com/acme/frostfixture/p.resolveContext(Ljava/lang/String;)Z -> awx
    com/acme/frostfixture/FixtureApp.HYzl0r7Lvd()Ljava/lang/String; -> gy
    com/acme/frostfixture/MbaCases.zBb4Eow5M62()Ljava/lang/String; -> td
    com/acme/frostfixture/ResourceUser.KwfRu2NUJhZynQq()Ljava/lang/String; -> agu
    com/acme/frostfixture/PluginEntrypoint.VbBQn1UsKkSGf()Ljava/lang/String; -> abk
    com/acme/frostfixture/GenericBox.GX4rhn2zTuRY()Ljava/lang/String; -> nn
    com/acme/frostfixture/GenericBox.WbVVqCf7dzlXCm()Ljava/lang/String; -> nr
    com/acme/frostfixture/FlowCases.wtnJgsFVUQNL()Ljava/lang/String; -> li
    com/acme/frostfixture/w.buildLookupKey([I)I -> bax
    com/acme/frostfixture/MbaCases.ciEZyiJHQNsR()Ljava/lang/String; -> tl
    com/acme/frostfixture/FixtureApp.JmtBebSIWR()Ljava/lang/String; -> hm
    com/acme/frostfixture/ServiceImpl.yXaap2ZXRYR06()Ljava/lang/String; -> ajq
    com/acme/frostfixture/TracePrinter.bYvuOEaxA2()Ljava/lang/String; -> ans
    com/acme/frostfixture/NativeBridge.rdMlVP8uJBM()Ljava/lang/String; -> xf
    com/acme/frostfixture/s.formatStatus([I)I -> ayi
    com/acme/frostfixture/l.isReady(Ljava/util/Map;)Ljava/util/Map; -> avn
    com/acme/frostfixture/NativeBridge.safeValue(I)I -> vb
    com/acme/frostfixture/a.normalizeName(Ljava/util/Collection;)I -> aoo
    com/acme/frostfixture/ResourceUser.aL2ItveFEiCm()Ljava/lang/String; -> afq
    com/acme/frostfixture/x.shouldRetry(Ljava/util/Map;)Ljava/util/Map; -> bbo
    com/acme/frostfixture/ApiHidingCases.IvSspWX6XQ()Ljava/lang/String; -> dk
    com/acme/frostfixture/NativeBridge.iL3zusrY1Fqlq40()Ljava/lang/String; -> vl
    com/acme/frostfixture/NativeBridge.uOO98IWn8PrXX()Ljava/lang/String; -> xc
    com/acme/frostfixture/NativeBridge.mwKHZ761dd()Ljava/lang/String; -> xe
    com/acme/frostfixture/PluginEntrypoint.ZMeguiMvI1jD1()Ljava/lang/String; -> yz
    com/acme/frostfixture/e.normalizeName(Ljava/util/Collection;)I -> arl
    com/acme/frostfixture/ApiHidingCases.Fe53Miy9P()Ljava/lang/String; -> dz
    com/acme/frostfixture/j.applyDefaults(J)J -> aut
    com/acme/frostfixture/ReflectionTarget.DzQIlRiF7k1C6c()Ljava/lang/String; -> ade
    com/acme/frostfixture/FlowCases.bOLjQPOKa1w()Ljava/lang/String; -> jk
    com/acme/frostfixture/MbaCases.Sd57jcrhrXSQQC()Ljava/lang/String; -> up
    com/acme/frostfixture/ReflectionTarget.lVnSu0NHzo6()Ljava/lang/String; -> adk
    com/acme/frostfixture/LambdaUser.cYGX7WNa8()Ljava/lang/String; -> se
    com/acme/frostfixture/LambdaUser.jp9P5eUPAzqtP()Ljava/lang/String; -> rh
    com/acme/frostfixture/PluginEntrypoint.aoTW26UEZIUIyOt()Ljava/lang/String; -> aay
    com/acme/frostfixture/s.drainQueue(I)I -> ays
    com/acme/frostfixture/GenericBox.LJx1nX6rTFyd()Ljava/lang/String; -> nj
    com/acme/frostfixture/MbaCases.fngB0wE8Lt()Ljava/lang/String; -> tk
    com/acme/frostfixture/NativeBridge.iiSW9DbUjH()Ljava/lang/String; -> vj
    com/acme/frostfixture/j.resetState()V -> auu
    com/acme/frostfixture/s.shouldRetry(Ljava/util/Map;)Ljava/util/Map; -> ayr
    com/acme/frostfixture/LambdaUser.hHVwAHmglQd()Ljava/lang/String; -> pf
    com/acme/frostfixture/NativeBridge.BhM2dXWoy1Vcoh()Ljava/lang/String; -> vp
    com/acme/frostfixture/AnnotatedEndpoint.ZfA3dkuB07dTYFU()Ljava/lang/String; -> bh
    com/acme/frostfixture/PluginEntrypoint.OA26BDuiZ()Ljava/lang/String; -> aag
    com/acme/frostfixture/TracePrinter.oZvAp4JTfJ()Ljava/lang/String; -> aoa
    com/acme/frostfixture/b.isReady(Ljava/util/Map;)Ljava/util/Map; -> apf
    com/acme/frostfixture/NativeBridge.a6tfWxXLhRrr()Ljava/lang/String; -> xd
    com/acme/frostfixture/ReflectionTarget.GY0U1KuiHOgx()Ljava/lang/String; -> ach
    com/acme/frostfixture/n.resolveContext(Ljava/lang/String;)Z -> awd
    com/acme/frostfixture/PluginEntrypoint.y8CHeJ413Nhvv()Ljava/lang/String; -> aai
    com/acme/frostfixture/TracePrinter.PkhdigTtMUw5D4I()Ljava/lang/String; -> anr
    com/acme/frostfixture/ApiHidingCases.gZZ4lUtou6jOS()Ljava/lang/String; -> do
    com/acme/frostfixture/h.commitChanges(Ljava/lang/String;)Z -> atp
    com/acme/frostfixture/NativeBridge.QgOgkX3Z7()Ljava/lang/String; -> xx
    com/acme/frostfixture/GenericBox.QaJWkcMHIdXAK()Ljava/lang/String; -> mm
    com/acme/frostfixture/n.validateState(Ljava/util/Collection;)I -> awe
    com/acme/frostfixture/v.countEntries()V -> bac
    com/acme/frostfixture/TracePrinter.p3PmLA21fmkHvMB()Ljava/lang/String; -> alm
    com/acme/frostfixture/l.resolveContext(Ljava/lang/String;)Z -> avi
    com/acme/frostfixture/NativeBridge.IxenYX8KSGMNM()Ljava/lang/String; -> xj
    com/acme/frostfixture/s.countEntries()V -> ayh
    com/acme/frostfixture/MbaCases.km0d90wSX75iMpc()Ljava/lang/String; -> st
    com/acme/frostfixture/p.countEntries()V -> axa
